;;;;;;Procurement Monthly Report;;;;;;;;;;;;;;;;;
Parameters;;;;;;;;;;;;;;;;;;;;;;;
Approved PR From Date;;;;;01/01/2024;;Approved PR to Date;;;31/01/2024;;;;;;;;;;;;;
Approved PO From Date;;;;;01/01/2024;;Approved PO to Date;;;31/01/2024;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
PR TYPE;;;General;;Technical;;Total PR (PO);;;;;;;;;;;;;;;;
;;;57;;111;;168;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Urgent Type;;;AOG;;Urgent;;Normal;None;;;;;;;;;;;;;;;
;;;31;;63;;28;46;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
PO Types;;;Single Source;;Competitive;;Sole Source;Direct Purchase;;;;;;;;;;;;;;;
;;;4;;30;;34;100;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Variation PO;;;PO Number;;Percentage of Total PO %;;Total Diff (SAR);;;;;;;;;;;;;;;;
;;;158;;59%;;-30,877,009.68;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Purchase Requisition No.;;;Purchase Order No.;;Department;;PR Amount (SAR);PO Amount (SAR);Diff Amount (SAR);PO Variation %;Savings;PO Status;Approved PO Date;Approved PR Date;Days;PR Type;PO Types;PO Discerption;Vendor name;Payments terms;;;
;;;;;;;;;;;(SAR;;;;;;;;;;;;
PR-240009;;;PO-240009;;?Operation?;;2,000.00;2,000.00;0;0%;;?Closed?;01/03/2024;01/02/2024;1;Technical;Direct Purchase ;"URGENT / SEND FOR ""TOP CHARGE""";first class aviation services ;Net 30;;;
PR-240010;;;PO-240010;;?Operation?;;500;500;0;0%;;?Closed?;01/11/2024;01/02/2024;9;Technical;Direct Purchase ;URGENT / SEND FOR INSPECTION & RECERTIFICATION;Alpha Star Aviation Services ;Net 30;;;
PR-233850;;;PO-240011;;?Operation?;;0;0;0;0%;;?Open?;01/03/2024;01/01/2024;2;Technical;Direct Purchase ;H125 Airconditioning system parts send for repair.;ACE Thermal Systems/Air Comm Corporation ;100% Advance;;;
PR-233852;;;PO-240012;;?Operation?;;0;0;0;0%;;?Closed For Receiving?;01/03/2024;01/01/2024;2;Technical;Direct Purchase ;PR Priority: URGENTModel of aircraft: AW139A/C Registration number: SPAREReason: Bad from stock, INOP unit. Unit smell burn components during power on.Description of requirement: Warranty (Received under PO-231938);HONEYWELL INERNATIONAL ;Immediate;;;
PR-233845;;;PO-240013;;?Operation?;;3,010.00;3,010.00;0;0%;;?Closed For Receiving?;01/03/2024;01/01/2024;2;Technical;Direct Purchase ;Urgent / Send for Repair.AC: AW139/HZ-RC7;first class aviation services ;Net 30;;;
PR-240002;;;PO-240015;;?Operation?;;0;0;0;0%;;?Closed For Receiving?;01/03/2024;01/01/2024;2;Technical;Direct Purchase ;Free of Charge (FOC) to comply with ASB AS350-76.00.31 for fleet HZ-HC64 MSN 8601.;Airbus Helicopters Arabia ;Net 30;;;
